34,18,13,0,0,1,0,0,1,0,0,1
25,17,14,0,2,1,1,0,0,0,0,0
62,62,2,0,0,0,0,1,0,0,0,0
31,31,5,0,0,0,1,0,0,0,0,0
39,28,13,0,0,2,1,0,0,0,0,0
29,29,1,0,0,0,0,1,0,0,0,0
25,25,2,0,0,0,0,1,0,0,0,1
21,17,6,0,0,0,0,1,0,0,0,0
19,19,1,0,0,0,0,0,1,0,0,1
32,27,11,0,0,0,1,0,0,0,0,0
49,49,1,0,0,0,0,1,0,0,0,1
36,24,7,1,1,0,0,0,0,0,0,0
31,31,1,0,0,0,1,0,0,0,0,0
25,25,6,0,0,0,1,0,0,0,0,0
24,24,1,0,0,0,0,1,0,0,0,0
19,19,3,0,0,0,0,1,0,0,0,0
41,41,2,1,3,0,1,0,0,0,0,0
33,33,1,0,0,0,0,1,0,0,0,0
22,20,9,0,0,1,0,1,0,0,0,1
27,14,14,0,0,1,1,0,0,0,0,1
23,20,16,0,0,0,0,1,0,0,0,0
25,18,9,0,0,0,0,1,0,0,0,1
31,15,21,0,2,3,1,0,0,0,0,1
35,31,8,0,0,0,0,1,0,0,0,1
20,20,2,0,0,0,1,0,0,0,0,0
28,17,15,0,1,1,1,0,0,0,0,1
40,39,2,0,0,0,0,1,0,0,0,1
36,36,1,0,0,0,0,0,1,0,0,0
27,17,5,1,1,1,0,1,0,0,0,0
18,15,11,0,0,0,0,0,0,0,0,1
18,17,5,0,0,0,0,1,0,0,0,1
21,18,7,0,0,2,0,1,0,0,0,0
26,15,9,0,0,2,0,1,0,0,0,1
25,25,1,0,0,0,1,0,0,0,0,1
28,28,2,0,0,0,0,1,0,0,0,1
40,30,7,0,0,2,0,0,0,0,0,0
29,27,7,0,0,0,0,1,0,0,0,1
30,20,19,0,1,3,1,0,0,0,0,0
18,18,3,0,0,0,0,1,0,0,0,0
61,61,2,0,0,0,1,0,0,0,0,0
27,22,3,0,0,0,0,1,0,0,0,0
30,30,1,0,0,0,0,1,0,0,0,0
48,48,4,0,0,0,0,1,0,0,0,0
21,19,6,0,0,1,1,0,0,0,0,0
39,39,2,0,1,0,1,0,0,0,0,0
24,23,6,0,0,0,1,0,0,0,0,1
44,44,1,0,0,0,1,0,0,0,0,0
18,17,7,0,0,0,1,0,0,0,0,1
26,19,10,0,0,0,1,0,0,0,0,0
25,25,2,0,0,0,1,0,0,0,0,0
20,20,1,0,0,0,1,0,0,0,0,0
59,37,6,0,0,0,0,1,0,0,0,0
28,28,3,0,0,0,0,0,0,0,0,0
41,19,23,0,4,3,1,0,0,0,0,0
28,18,30,1,2,0,0,1,0,0,0,0
33,33,1,1,1,0,1,0,0,0,0,1
25,16,15,0,2,2,1,0,0,0,0,1
34,34,1,0,0,0,0,0,0,0,0,0
30,30,1,0,0,0,0,0,0,1,0,0
28,28,1,0,0,0,0,1,0,0,0,0
32,20,12,0,0,2,0,0,0,0,0,0
28,21,7,0,1,0,1,0,0,0,0,0
23,23,3,0,0,0,0,0,0,0,0,1
26,26,2,0,0,0,1,0,0,0,0,0
19,17,5,0,0,0,1,0,0,0,0,0
36,36,1,0,0,0,0,1,0,0,0,0
30,30,2,0,0,0,0,0,1,0,0,0
40,40,1,0,0,0,0,1,0,0,0,0
29,29,1,0,0,0,0,0,1,0,0,0
42,18,6,0,0,2,0,1,0,0,0,0
52,45,3,0,0,0,0,0,0,0,0,0
